FID,uuid,gmtco_point,detected_at,ti4,ti5,scan,track,frp,day_night,confidence,created_at,updated_at
nasa_fire.169495940,ba26d619-83e8-d9ee-afda-066057347c21,POINT (21.45109 28.71411),2022-03-30T23:31:00,309.33,286.74,0.46,0.64,1.12,night,nominal,2022-03-31T05:57:35.398,2022-03-31T05:57:35.398
nasa_fire.169495970,1e39fe04-5f2e-9fec-736b-fde46b89941f,POINT (22.40446 27.58203),2022-03-30T23:31:00,350.47,285.42,0.39,0.6,4.7,night,nominal,2022-03-31T05:57:35.621,2022-03-31T05:57:35.621
nasa_fire.169495969,81c4c951-9b77-44af-448b-6c3256be58f3,POINT (22.40039 27.58235),2022-03-30T23:31:00,336.26,286.1,0.39,0.6,4.7,night,nominal,2022-03-31T05:57:35.614,2022-03-31T05:57:35.614
nasa_fire.169495967,4ee46682-db6b-a774-b1a9-f23cf3602466,POINT (22.49711 27.64139),2022-03-30T23:31:00,296.65,285.04,0.39,0.59,2.6,night,nominal,2022-03-31T05:57:35.6,2022-03-31T05:57:35.6
nasa_fire.169495966,2dd25a29-48e3-9165-3d88-11d30a502000,POINT (22.50116 27.64108),2022-03-30T23:31:00,335.33,285.56,0.39,0.59,2.6,night,nominal,2022-03-31T05:57:35.593,2022-03-31T05:57:35.593
nasa_fire.169495965,ac2be102-d38b-717a-5a56-6df18c4babd7,POINT (22.49771 27.64691),2022-03-30T23:31:00,303.69,288.12,0.39,0.59,2.6,night,nominal,2022-03-31T05:57:35.585,2022-03-31T05:57:35.585
nasa_fire.169495964,d2a2ee36-e379-94ee-be97-4355dd9107b0,POINT (22.47742 27.64849),2022-03-30T23:31:00,295.37,284.67,0.39,0.59,5.25,night,nominal,2022-03-31T05:57:35.577,2022-03-31T05:57:35.577
nasa_fire.169495963,2ef58c18-6e0c-8299-88a0-84a6e06b6eb8,POINT (22.50177 27.6466),2022-03-30T23:31:00,367,289.84,0.39,0.59,2.6,night,high,2022-03-31T05:57:35.569,2022-03-31T05:57:35.569
nasa_fire.169495962,e7edd3c7-eec9-c921-d54d-25379551454b,POINT (22.48147 27.64818),2022-03-30T23:31:00,367,291.3,0.39,0.59,7.28,night,high,2022-03-31T05:57:35.561,2022-03-31T05:57:35.561
nasa_fire.169495961,e48a4002-3c8c-f56c-7057-80ca869e712c,POINT (22.43026 27.81324),2022-03-30T23:31:00,305.99,285.87,0.39,0.6,2.52,night,nominal,2022-03-31T05:57:35.555,2022-03-31T05:57:35.555
