FID,uuid,gmtco_point,detected_at,ti4,ti5,scan,track,frp,day_night,confidence,created_at,updated_at
nasa_fire.49216138,220044b6-f5f7-c292-7761-c4a4c1bda8b5,POINT (-108.67546 38.43709),2018-07-30T19:42:00,367,327,0.44,0.46,78.4,day,,2018-07-31T01:03:40.066,2018-07-31T01:03:40.066
nasa_fire.49216137,5ff8e273-1dfa-5a97-d654-43a0bfad4762,POINT (-108.67038 38.43822),2018-07-30T19:42:00,342.1,309.9,0.44,0.46,19.1,day,,2018-07-31T01:03:40.057,2018-07-31T01:03:40.058
nasa_fire.49216136,23b257d6-b09d-7096-083f-ee9f20da2dc9,POINT (-108.6602 38.44048),2018-07-30T19:42:00,336.5,309.1,0.44,0.46,11.2,day,,2018-07-31T01:03:40.048,2018-07-31T01:03:40.048
nasa_fire.49216135,f25aad99-84db-e35b-69ca-83490edd048f,POINT (-108.65516 38.4416),2018-07-30T19:42:00,352.9,312.7,0.44,0.46,11.2,day,,2018-07-31T01:03:40.038,2018-07-31T01:03:40.038
nasa_fire.49216134,212ce5ef-4e8c-2c74-19a9-e32b72f8c8f1,POINT (-108.65013 38.44272),2018-07-30T19:42:00,350.8,309.3,0.43,0.46,11.2,day,,2018-07-31T01:03:40.029,2018-07-31T01:03:40.029
nasa_fire.49216133,9eda4635-2c5d-5a66-714c-68b2e224571f,POINT (-108.67419 38.43292),2018-07-30T19:42:00,354,320.8,0.44,0.46,78.4,day,,2018-07-31T01:03:40.019,2018-07-31T01:03:40.019
nasa_fire.49216132,26567ba1-e232-329b-5cdd-6ba15eaefe38,POINT (-108.65889 38.43633),2018-07-30T19:42:00,347.3,312.4,0.44,0.46,11.2,day,,2018-07-31T01:03:40.009,2018-07-31T01:03:40.01
nasa_fire.49216131,fad18299-460e-2c9d-8f1e-f1a7d1785478,POINT (-108.65385 38.43746),2018-07-30T19:42:00,337.7,306.3,0.44,0.46,11.2,day,,2018-07-31T01:03:39.999,2018-07-31T01:03:39.999
nasa_fire.49216209,498b28fc-c774-75e5-295e-38f315e80c00,POINT (-108.72098 39.66713),2018-07-30T19:42:00,335.9,304,0.41,0.45,5.7,day,,2018-07-31T01:03:40.667,2018-07-31T01:03:40.667
nasa_fire.49216211,f06b8b9a-6f94-238e-e3b2-9d3353bde059,POINT (-108.74068 39.67149),2018-07-30T19:42:00,330.4,302.2,0.41,0.45,37.6,day,,2018-07-31T01:03:40.685,2018-07-31T01:03:40.685
nasa_fire.49216214,95a65258-e0a6-98f7-6488-9b98fabee866,POINT (-108.74272 39.67539),2018-07-30T19:42:00,355.9,314.9,0.41,0.45,37.6,day,,2018-07-31T01:03:40.71,2018-07-31T01:03:40.71
nasa_fire.49216215,ee6e5d07-ba0a-d53f-7936-9ca1d1364b94,POINT (-108.74731 39.67439),2018-07-30T19:42:00,299.6,310.1,0.41,0.45,53,day,,2018-07-31T01:03:40.718,2018-07-31T01:03:40.718
