FID,uuid,gmtco_point,detected_at,ti4,ti5,scan,track,frp,day_night,confidence,created_at,updated_at
nasa_fire.95848400,d6d19498-798d-c4fa-54b2-497a41709055,POINT (-105.98527 39.89233),2020-09-29T20:30:00,341.7,295.4,0.49,0.49,55,day,,2020-09-30T01:09:40.84,2020-09-30T01:09:40.84
nasa_fire.95848401,f3f31c71-0dc5-ff5b-cebe-e8c97429f0cd,POINT (-105.99059 39.8919),2020-09-29T20:30:00,344.4,314,0.49,0.49,55,day,,2020-09-30T01:09:40.851,2020-09-30T01:09:40.851
nasa_fire.95848384,4dfb6c7d-63e0-3a20-7e8d-9dc436ee85fe,POINT (-105.92282 39.7825),2020-09-29T20:30:00,367,305.2,0.49,0.49,21.5,day,,2020-09-30T01:09:40.71,2020-09-30T01:09:40.71
nasa_fire.95848385,2aaab69d-90d7-aca7-1444-4efdf0a8159c,POINT (-105.91781 39.78291),2020-09-29T20:30:00,351.6,299.1,0.49,0.49,21.5,day,,2020-09-30T01:09:40.719,2020-09-30T01:09:40.719
nasa_fire.95848386,0cb61432-dc2f-5684-20a2-3d376f6a9902,POINT (-105.92782 39.7821),2020-09-29T20:30:00,331.8,295.2,0.49,0.49,10.6,day,,2020-09-30T01:09:40.727,2020-09-30T01:09:40.727
nasa_fire.95848387,d28669ed-9e46-58e3-ad9a-dbc158b04b00,POINT (-105.93888 39.78121),2020-09-29T20:30:00,339.7,295.4,0.49,0.49,3.4,day,,2020-09-30T01:09:40.735,2020-09-30T01:09:40.735
nasa_fire.95848389,695c4416-0403-9ce7-ec9b-e9a573eade77,POINT (-105.91376 39.78777),2020-09-29T20:30:00,340.2,290.8,0.49,0.49,10.2,day,,2020-09-30T01:09:40.751,2020-09-30T01:09:40.751
nasa_fire.95848390,c19525ef-40fd-9da7-b7ac-64a3c508ad99,POINT (-105.91998 39.78727),2020-09-29T20:30:00,343.8,300.2,0.49,0.49,9.3,day,,2020-09-30T01:09:40.759,2020-09-30T01:09:40.759
nasa_fire.95848391,bd0546a5-c8e4-e633-a816-f40838915ee4,POINT (-105.92503 39.78686),2020-09-29T20:30:00,330.4,302.4,0.49,0.49,9.3,day,,2020-09-30T01:09:40.767,2020-09-30T01:09:40.767
nasa_fire.95848392,b056327e-0be2-a110-0c12-77112cfbb827,POINT (-105.92988 39.78647),2020-09-29T20:30:00,356.7,306.5,0.49,0.49,21.2,day,,2020-09-30T01:09:40.775,2020-09-30T01:09:40.775
nasa_fire.95848393,e1180506-7f01-f191-e78e-e65672edd7c6,POINT (-105.94058 39.78559),2020-09-29T20:30:00,349.3,305.7,0.49,0.49,13.6,day,,2020-09-30T01:09:40.783,2020-09-30T01:09:40.783
