FID,uuid,gmtco_point,detected_at,ti4,ti5,scan,track,frp,day_night,confidence,created_at,updated_at
nasa_fire.93173603,52e84db9-be08-8eb6-f85f-47f9a5b7134d,POINT (-108.59634 40.65022),2020-08-30T19:54:00,349.2,317.3,0.44,0.38,8.7,day,,2020-08-31T01:11:15.156,2020-08-31T01:11:15.156
nasa_fire.93173604,54260786-0aac-b0cf-e763-6f90462e5964,POINT (-108.59747 40.65366),2020-08-30T19:54:00,367,325.5,0.44,0.38,64.5,day,,2020-08-31T01:11:15.163,2020-08-31T01:11:15.163
nasa_fire.93110944,fea43c74-c8a3-eb13-ea13-40db38bcd1fd,POINT (-104.60883 38.23363),2020-08-30T08:30:00,297.6,286.6,0.48,0.4,0.6,night,,2020-08-30T13:09:02.569,2020-08-30T13:09:02.57
nasa_fire.93110945,e06d2883-673c-a4e9-f320-6d0a7ee27b8c,POINT (-104.60721 38.12652),2020-08-30T08:30:00,299.4,286.4,0.48,0.4,1,night,,2020-08-30T13:09:02.577,2020-08-30T13:09:02.577
nasa_fire.93016707,4a857a37-3263-a483-2dc8-4704965a0f9b,POINT (-104.60441 38.23517),2020-08-29T08:48:00,299.4,286.9,0.38,0.36,0.7,night,,2020-08-29T13:07:59.898,2020-08-29T13:07:59.898
nasa_fire.93016708,b5002d1b-242f-3af1-3fcb-afea29ec5765,POINT (-104.6061 38.22861),2020-08-29T08:48:00,298.7,287.1,0.38,0.36,0.6,night,,2020-08-29T13:07:59.905,2020-08-29T13:07:59.906
nasa_fire.93016627,c8f8cc54-e7a0-c1d3-c7eb-bb21fdd474ad,POINT (-104.94428 39.80336),2020-08-29T08:48:00,299,288.1,0.39,0.36,0.6,night,,2020-08-29T13:07:59.274,2020-08-29T13:07:59.274
nasa_fire.93016709,e5f9fb25-2712-6493-6118-dc95ab9a0487,POINT (-104.60656 38.13037),2020-08-29T08:48:00,299.8,286.8,0.38,0.36,0.7,night,,2020-08-29T13:07:59.913,2020-08-29T13:07:59.913
nasa_fire.93016710,cf1f31f1-9433-1e7b-04e7-ed78e5d1b0ba,POINT (-104.60741 38.12709),2020-08-29T08:48:00,297.6,286.3,0.38,0.36,0.7,night,,2020-08-29T13:07:59.92,2020-08-29T13:07:59.92
nasa_fire.92991658,4577fde1-bb45-1438-88dc-d44a5a4fbbad,POINT (-104.38638 37.00976),2020-08-28T18:48:00,350,297.8,0.63,0.72,69.2,day,,2020-08-28T23:09:44.369,2020-08-28T23:09:44.37
nasa_fire.92991659,0ec2882d-7430-90f4-c6f4-48d6fa28f5b1,POINT (-104.39198 37.00805),2020-08-28T18:48:00,338.7,296.4,0.63,0.72,103.8,day,,2020-08-28T23:09:44.377,2020-08-28T23:09:44.377
nasa_fire.92991660,98876e23-7153-3e8d-510f-52c53f2b5109,POINT (-104.39811 37.00616),2020-08-28T18:48:00,333.5,294.2,0.63,0.72,103.8,day,,2020-08-28T23:09:44.384,2020-08-28T23:09:44.384
nasa_fire.92991661,f68f86a6-6a67-4c85-1e30-9588f68eeba1,POINT (-104.39413 37.01459),2020-08-28T18:48:00,367,302.9,0.63,0.72,96.7,day,,2020-08-28T23:09:44.391,2020-08-28T23:09:44.391
nasa_fire.92991662,77b8bee4-37f0-c775-5a41-4db37a4b47f8,POINT (-104.40016 37.01274),2020-08-28T18:48:00,345,306.7,0.63,0.72,96.7,day,,2020-08-28T23:09:44.399,2020-08-28T23:09:44.399
nasa_fire.92991663,a0399591-0027-e680-ec4b-1c3dd3e09903,POINT (-104.4064 37.01083),2020-08-28T18:48:00,332.4,293.1,0.63,0.72,27.7,day,,2020-08-28T23:09:44.406,2020-08-28T23:09:44.406
nasa_fire.92991652,9443afc1-2010-5968-be41-40cd0284778e,POINT (-104.38312 36.99635),2020-08-28T18:48:00,355.5,295.1,0.63,0.72,21.5,day,,2020-08-28T23:09:44.325,2020-08-28T23:09:44.326
nasa_fire.92991654,b3ff1b5c-880b-d1bf-19e9-a902c6370a5b,POINT (-104.37215 37.00692),2020-08-28T18:48:00,351,296.3,0.63,0.72,40.2,day,,2020-08-28T23:09:44.34,2020-08-28T23:09:44.34
nasa_fire.92991651,68d14be5-02de-5ea3-cbc9-94726c4d1d37,POINT (-104.37673 36.99831),2020-08-28T18:48:00,367,296.3,0.63,0.72,21.5,day,,2020-08-28T23:09:44.318,2020-08-28T23:09:44.318
nasa_fire.92991653,f89c141e-85cd-509f-743d-c61c411da310,POINT (-104.37846 37.00499),2020-08-28T18:48:00,367,301.2,0.63,0.72,69.2,day,,2020-08-28T23:09:44.333,2020-08-28T23:09:44.333
