FID,uuid,gmtco_point,detected_at,ti4,ti5,scan,track,frp,day_night,confidence,created_at,updated_at
nasa_fire.75115281,06abe8cf-3d13-3d42-7c38-2acd4c7e3464,POINT (-103.41725 31.55109),2019-09-29T19:48:00,338,303.6,0.39,0.36,3,day,,2019-09-29T23:11:29.416,2019-09-29T23:11:29.416
nasa_fire.75115280,6d6a1387-deb8-e736-8d90-fbdf81b74b93,POINT (-101.87265 31.7035),2019-09-29T19:48:00,339,301.4,0.39,0.36,2.7,day,,2019-09-29T23:11:29.408,2019-09-29T23:11:29.409
nasa_fire.75115276,e03b6512-18ec-39f9-2ddb-df593325e768,POINT (-101.76293 31.52699),2019-09-29T19:48:00,333.3,298.8,0.39,0.36,1.8,day,,2019-09-29T23:11:29.377,2019-09-29T23:11:29.377
nasa_fire.75115279,241105a1-7272-c7f1-fa95-532f42a3fcfd,POINT (-101.93542 31.68403),2019-09-29T19:48:00,331.5,300,0.39,0.36,1.5,day,,2019-09-29T23:11:29.401,2019-09-29T23:11:29.402
nasa_fire.75115274,fdfd1c55-7961-bea5-da6c-69a8ba66687c,POINT (-101.77309 31.36335),2019-09-29T19:48:00,336.3,300.9,0.39,0.36,3.2,day,,2019-09-29T23:11:29.362,2019-09-29T23:11:29.362
nasa_fire.75115287,4c4524d2-ea92-b4b2-b8a5-dca28de5d7ac,POINT (-101.93534 32.21219),2019-09-29T19:48:00,341.1,298.9,0.39,0.36,9.7,day,,2019-09-29T23:11:29.459,2019-09-29T23:11:29.459
nasa_fire.75115278,fd1c8bec-ce10-42a9-a172-49e4e9b5e1aa,POINT (-102.19353 31.64279),2019-09-29T19:48:00,346.1,299,0.38,0.36,6.5,day,,2019-09-29T23:11:29.393,2019-09-29T23:11:29.394
nasa_fire.75115275,45305ef6-1da0-1df8-861b-1b6d48d37f0b,POINT (-102.19041 31.44302),2019-09-29T19:48:00,338.8,302.6,0.38,0.36,3.6,day,,2019-09-29T23:11:29.37,2019-09-29T23:11:29.37
nasa_fire.75066585,97b6e54c-a022-a97e-2a11-08547368b176,POINT (-104.05866 31.83835),2019-09-29T08:30:00,315.9,292.2,0.4,0.37,0.9,night,,2019-09-29T13:06:22.106,2019-09-29T13:06:22.106
nasa_fire.75066589,4e3da01e-ef77-567e-fa2a-1681d71de495,POINT (-103.94706 31.73926),2019-09-29T08:30:00,302.5,292.2,0.4,0.37,0.4,night,,2019-09-29T13:06:22.142,2019-09-29T13:06:22.142
