FID,uuid,gmtco_point,detected_at,ti4,ti5,scan,track,frp,day_night,confidence,created_at,updated_at
nasa_fire.167260529,0908c6a7-d5d7-1982-b94a-390cc02de7bb,POINT (-101.17962 32.6618),2022-03-03T19:40:00,367,327.64,0.4,0.37,22.01,day,low,2022-03-04T00:04:57.466,2022-03-04T00:04:57.466
nasa_fire.167260527,bb5a14e8-ba8b-7b31-d2f2-3b8bb3a95694,POINT (-104.28963 32.09567),2022-03-03T19:40:00,335.31,293.32,0.52,0.42,12.28,day,nominal,2022-03-04T00:04:57.445,2022-03-04T00:04:57.445
nasa_fire.167260528,69e456d5-0fd1-390a-b84a-23a931d98947,POINT (-101.17883 32.65845),2022-03-03T19:40:00,348.35,317.18,0.4,0.37,22.01,day,nominal,2022-03-04T00:04:57.455,2022-03-04T00:04:57.455
nasa_fire.167212456,c06e64dc-3951-65d7-d50d-c63af948660a,POINT (-103.60574 32.11585),2022-03-03T08:22:00,311.37,275.73,0.51,0.41,1.38,night,nominal,2022-03-03T18:00:25.034,2022-03-03T18:00:25.035
nasa_fire.167212455,1ad411b7-9f7d-08d8-cf48-9fe08eef7e6c,POINT (-103.60943 32.11909),2022-03-03T08:22:00,298.61,275.3,0.51,0.41,0.79,night,nominal,2022-03-03T18:00:25.018,2022-03-03T18:00:25.018
nasa_fire.167212450,73365efa-69fe-f68f-3494-6662b004b336,POINT (-103.52932 32.22065),2022-03-03T08:22:00,295.47,278.81,0.51,0.41,0.95,night,nominal,2022-03-03T18:00:24.945,2022-03-03T18:00:24.945
nasa_fire.167212454,865fbd78-9d72-2e1b-3642-aba9683edfb1,POINT (-101.6992 31.88913),2022-03-03T08:22:00,299.97,279.41,0.43,0.38,0.75,night,nominal,2022-03-03T18:00:25.005,2022-03-03T18:00:25.005
nasa_fire.167212453,808e3bd2-fb32-ff52-96f7-64fa00f6dd23,POINT (-103.514 32.12731),2022-03-03T08:22:00,295.15,274.07,0.51,0.41,0.66,night,nominal,2022-03-03T18:00:24.992,2022-03-03T18:00:24.992
nasa_fire.167212452,e07a8253-48f9-9ce8-79e4-cdc648b41600,POINT (-102.10761 31.97166),2022-03-03T08:22:00,298.17,278.08,0.44,0.39,1.44,night,nominal,2022-03-03T18:00:24.97,2022-03-03T18:00:24.97
nasa_fire.167212469,afa8735f-1878-efe6-d989-a587e1713119,POINT (-101.78493 31.52658),2022-03-03T08:22:00,304.89,275.9,0.43,0.38,0.93,night,nominal,2022-03-03T18:00:25.236,2022-03-03T18:00:25.236
nasa_fire.167212468,332b4c0d-f5ca-7148-4b46-d650fa38c83d,POINT (-101.78429 31.53006),2022-03-03T08:22:00,311.53,277.66,0.43,0.38,1.16,night,nominal,2022-03-03T18:00:25.222,2022-03-03T18:00:25.222
nasa_fire.167212467,6dbee68a-cf4c-120b-b233-ea6057c6051e,POINT (-103.90278 31.81053),2022-03-03T08:22:00,295.13,275.66,0.53,0.42,1.52,night,nominal,2022-03-03T18:00:25.206,2022-03-03T18:00:25.206
nasa_fire.167212466,6fa4665e-71c5-331c-9ddf-5c048f1fdb08,POINT (-102.54758 31.74586),2022-03-03T08:22:00,304.76,279.61,0.46,0.39,1.45,night,nominal,2022-03-03T18:00:25.195,2022-03-03T18:00:25.195
